term_set,label,pattern,attr,replace,inside,postal
us_locations,us_county,dade,lower,,GA MO,
us_locations,us_county,daggett,lower,,UT,
us_locations,us_county,dakota,lower,,MN NE,
us_locations,us_county,dale,lower,,AL,
us_locations,us_county,dallam,lower,,TX,
us_locations,us_county,dallas,lower,,AL AR IA MO TX,
us_locations,us_county,dane,lower,,WI,
us_locations,us_county,daniels,lower,,MT,
us_locations,us_county,danville,lower,,VA,
us_locations,us_county,dare,lower,,NC,
us_locations,us_county,darke,lower,,OH,
us_locations,us_county,darlington,lower,,SC,
us_locations,us_county,dauphin,lower,,PA,
us_locations,us_county,davidson,lower,,NC TN,
us_locations,us_county,davie,lower,,NC,
us_locations,us_county,daviess,lower,,IN KY MO,
us_locations,us_county,davis,lower,,IA UT,
us_locations,us_county,davison,lower,,SD,
us_locations,us_county,dawes,lower,,NE,
us_locations,us_county,dawson,lower,,GA MT NE TX,
us_locations,us_county,day,lower,,SD,
us_locations,us_county,de baca,lower,,NM,
us_locations,us_county,de soto,lower,,LA,
us_locations,us_county,de witt,lower,,IL,
us_locations,us_county,deaf smith,lower,,TX,
us_locations,us_county,dearborn,lower,,IN,
us_locations,us_county,decatur,lower,,GA IN IA KS TN,
us_locations,us_county,deer lodge,lower,,MT,
us_locations,us_county,defiance,lower,,OH,
us_locations,us_county,dekalb,lower,,AL GA IL IN MO TN,
us_locations,us_county,del norte,lower,,CA,
us_locations,us_county,delta,lower,,CO MI TX,
us_locations,us_county,denali,lower,,AK,
us_locations,us_county,dent,lower,,MO,
us_locations,us_county,denton,lower,,TX,
us_locations,us_county,denver,lower,,CO,
us_locations,us_county,des moines,lower,,IA,
us_locations,us_county,deschutes,lower,,OR,
us_locations,us_county,desha,lower,,AR,
us_locations,us_county,desoto,lower,,FL MS,
us_locations,us_county,deuel,lower,,NE SD,
us_locations,us_county,dewey,lower,,OK SD,
us_locations,us_county,dewitt,lower,,TX,
us_locations,us_county,dickens,lower,,TX,
us_locations,us_county,dickenson,lower,,VA,
us_locations,us_county,dickey,lower,,ND,
us_locations,us_county,dickinson,lower,,IA KS MI,
us_locations,us_county,dickson,lower,,TN,
us_locations,us_county,dillingham,lower,,AK,
us_locations,us_county,dillon,lower,,SC,
us_locations,us_county,dimmit,lower,,TX,
us_locations,us_county,dinwiddie,lower,,VA,
us_locations,us_county,district of columbia,lower,,DC,
us_locations,us_county,divide,lower,,ND,
us_locations,us_county,dixie,lower,,FL,
us_locations,us_county,dixon,lower,,NE,
us_locations,us_county,doddridge,lower,,WV,
us_locations,us_county,dodge,lower,,GA MN NE WI,
us_locations,us_county,dolores,lower,,CO,
us_locations,us_county,dona ana,lower,,NM,
us_locations,us_county,doniphan,lower,,KS,
us_locations,us_county,donley,lower,,TX,
us_locations,us_county,dooly,lower,,GA,
us_locations,us_county,door,lower,,WI,
